Table 2 
Velocity Measurements for all Stars


ID	MJD ^a	R.A.	Decl.	g ^b	r ^b	S/N	v	MEM	
		(deg)	(deg)	(mag)	(mag)		(km s^-1)		
DES J225619.85-500757.2	58762.03	344.08273	-50.13258	17.4	16.95	64.25	-4.05 +or- 1.11	NM	
DES J225650.20-500814.2	58762.03	344.20917	-50.13729	21.06	20.57	4.85	-24.18 +or- 2.57	NM	
DES J225625.52-500828.1	58762.03	344.10635	-50.14116	21.9	20.5	10.77	-5.37 +or- 1.65	NM	
DES J225613.76-500835.1	58762.03	344.05735	-50.14309	19.57	18.7	23.03	140.71 +or- 1.26	NM	
DES J225713.21-500834.6	58762.03	344.30507	-50.14297	20.54	19.81	10.85	51.89 +or- 1.71	NM	
DES J225625.24-500842.0	58762.03	344.10519	-50.14501	20.35	18.87	44.23	46.26 +or- 1.14	NM	
DES J225631.22-500841.9	58762.03	344.13012	-50.14498	20.04	19.13	20.04	18.57 +or- 1.8	NM	
DES J225710.06-500856.0	58762.03	344.29192	-50.1489	19.08	18.4	27.45	0.53 +or- 1.19	NM	
DES J225658.06-501357.9	57229.33	344.24192	-50.23276	18.55	17.49	44.95	-140.88 +or- 1.11	M	
	58762.03	344.24192	-50.23276	18.55	17.49	53.25	-141.59 +or- 1.11	M	
	59471.02	344.24192	-50.23276	18.55	17.49	24.79	-143.32 +or- 1.13	M	
DES J225643.89-500903.0	58762.03	344.18288	-50.15085	21.43	20.93	3.5	-144.37 +or- 7.39	CM	
DES J225640.97-500913.4	58762.03	344.17074	-50.15374	18.97	18.63	21.8	188.02 +or- 1.34	NM	
DES J225703.50-500942.6	58762.03	344.26461	-50.16184	22.44	20.91	12.77	21.73 +or- 1.92	NM	
DES J225720.93-500951.2	58762.03	344.33724	-50.16423	21.2	19.64	30.71	33.11 +or- 1.24	NM	
DES J225655.34-500947.0	58762.03	344.23059	-50.16308	22.01	20.5	17.49	11.87 +or- 1.45	NM	
DES J225657.50-501013.9	58762.03	344.23959	-50.17053	20.41	19.06	38.09	62.0 +or- 1.15	NM	
DES J225710.72-501008.0	58762.03	344.29467	-50.16889	22.37	21.17	3.27	60.63 +or- 7.23	NM	
DES J225711.61-501018.5	58762.03	344.29838	-50.17182	18.99	19.12	7.75	210.38 +or- 6.86	NM	
DES J225703.66-501016.2	58762.03	344.26527	-50.17119	19.84	19.52	9.96	84.9 +or- 1.79	NM	
DES J225632.36-501025.4	58762.03	344.13486	-50.17372	20.0	19.4	10.85	57.61 +or- 1.84	NM	
DES J225656.51-501044.0	58762.03	344.23547	-50.1789	17.55	17.2	55.85	8.95 +or- 1.12	NM	
DES J225640.78-501051.4	58762.03	344.16992	-50.18096	20.43	19.79	10.35	-142.49 +or- 1.46	M	
	59471.02	344.16992	-50.18096	20.43	19.79	5.53	-140.68 +or- 2.11	M	
DES J225717.17-501105.1	58762.03	344.32157	-50.18477	19.94	19.22	12.78	79.9 +or- 1.91	NM	
DES J225646.98-501226.9	58762.03	344.19576	-50.2075	21.96	20.78	4.93	12.44 +or- 3.69	NM	
DES J225657.98-501252.7	58762.03	344.24162	-50.21466	19.18	18.96	15.84	279.45 +or- 1.6	NM	
DES J225629.92-500433.3	57229.33	344.12467	-50.07593	19.14	18.29	33.67	-147.39 +or- 1.15	M	
	58762.03	344.12467	-50.07593	19.14	18.29	36.66	-146.38 +or- 1.14	M	
	59471.02	344.12467	-50.07593	19.14	18.29	15.4	-144.72 +or- 1.26	M	
DES J225642.47-500334.1	57229.33	344.17699	-50.05949	21.58	21.06	2.02	21.47 +or- 10.46	NM	
DES J225639.47-500401.0	57229.33	344.16449	-50.06697	18.82	17.91	35.41	13.55 +or- 1.16	NM	
DES J225619.67-500913.1	57229.33	344.08198	-50.15364	20.9	20.34	6.93	-146.35 +or- 2.39	M	
	58762.03	344.08198	-50.15364	20.9	20.34	6.34	-139.67 +or- 2.24	M	
DES J225643.20-501130.0	57229.33	344.18001	-50.19168	21.13	20.48	3.69	-138.53 +or- 6.06	NM	
	58762.03	344.18001	-50.19168	21.13	20.48	5.26	-138.77 +or- 2.31	NM	
DES J225643.79-501332.6	57229.33	344.18246	-50.22574	21.51	20.95	2.57	-139.07 +or- 6.87	CM	
DES J225637.05-501024.8	57229.33	344.15438	-50.17357	20.46	19.81	9.29	-135.25 +or- 2.13	M	
	58762.03	344.15438	-50.17357	20.46	19.81	9.81	-143.08 +or- 1.58	M	
DES J225625.69-501414.2	57229.33	344.10707	-50.23729	20.95	20.42	4.35	-144.56 +or- 4.0	CM	
DES J225653.36-500924.3	57229.33	344.22233	-50.15675	19.9	19.29	13.42	-53.12 +or- 1.49	NM	
