Table 2 
Target List


ID	R. A. (J2000)	decl. (J2000)	g_0	${(g-r)}_{0}$	${(g-I)}_{0}$	S/N^a	${v}_{\mathrm{helio}}$	Member?	${T}_{\mathrm{eff}}$	$\mathrm{log}g$	[Fe/H]	
			(mag)	(mag)	(mag)	(Aring^-1)	(km s^-1)		(K)	(cm s^-2)		
Hydra II												
												
196246	12 21 27.50	-31 57 22.6	19.68	0.63	 ... 	54	161.8 +or- 1.6	N	 ... 	 ... 	 ... 	
184647	12 21 28.13	-32 06 36.7	19.75	0.63	 ... 	46	116.3 +or- 1.9	N	 ... 	 ... 	 ... 	
199452	12 21 30.18	-31 55 58.0	19.94	0.85	 ... 	59	5.1 +or- 1.6	N	 ... 	 ... 	 ... 	
189524	12 21 32.70	-32 03 51.5	21.90	0.60	 ... 	8	272.9 +or- 7.9	N	 ... 	 ... 	 ... 	
188838	12 21 33.19	-32 04 29.4	20.66	0.67	 ... 	33	319.0 +or- 2.3	N	 ... 	 ... 	 ... 	
194103	12 21 34.74	-31 59 21.8	20.93	0.57	 ... 	25	300.0 +or- 4.2	Y	5095	2.05	-2.40 +or- 0.32	
193538	12 21 35.93	-31 59 54.0	19.79	0.67	 ... 	66	304.2 +or- 1.7	Y	4918	1.46	-1.95 +or- 0.12	
198021	12 21 36.31	-31 56 38.1	21.40	0.68	 ... 	19	63.9 +or- 3.4	N	 ... 	 ... 	 ... 	
195726	12 21 36.74	-31 57 54.1	21.13	0.60	 ... 	22	306.5 +or- 3.5	Y	5036	2.11	-2.48 +or- 0.33	
190646	12 21 38.18	-32 02 38.2	20.23	0.61	 ... 	44	86.6 +or- 1.8	N	 ... 	 ... 	 ... 	
194563	12 21 38.51	-31 58 56.4	20.57	0.48	 ... 	34	302.9 +or- 3.3	Y	 ... 	 ... 	 ... 	
191521	12 21 39.68	-32 01 48.8	19.91	0.96	 ... 	45	202.5 +or- 1.8	N	 ... 	 ... 	 ... 	
191385^b	12 21 40.08	-32 01 57.7	20.70	0.16	 ... 	9	316.9 +or- 19.9	N	 ... 	 ... 	 ... 	
192206	12 21 40.37	-32 01 12.1	19.97	1.02	 ... 	68	28.0 +or- 1.5	N	 ... 	 ... 	 ... 	
193286	12 21 40.96	-32 00 07.0	21.27	0.54	 ... 	14	299.9 +or- 5.4	Y	 ... 	 ... 	 ... 	
194920	12 21 41.02	-31 58 34.4	21.58	0.54	 ... 	16	294.5 +or- 5.9	Y	 ... 	 ... 	 ... 	
194405	12 21 41.05	-31 59 04.1	20.36	0.65	 ... 	48	304.2 +or- 1.9	Y	4921	1.73	-1.89 +or- 0.13	
189086	12 21 41.79	-32 04 15.9	21.46	-0.21	 ... 	4	315.5 +or- 23.5	Y	 ... 	 ... 	 ... 	
194325	12 21 42.51	-31 59 10.0	21.04	0.51	 ... 	24	301.9 +or- 3.0	Y	5171	2.15	-2.76 +or- 0.43	
197616	12 21 42.62	-31 56 44.2	21.11	0.36	 ... 	15	94.9 +or- 6.6	N	 ... 	 ... 	 ... 	
201098	12 21 42.78	-31 54 26.7	20.21	0.82	 ... 	22	-85.0 +or- 2.3	N	 ... 	 ... 	 ... 	
196797	12 21 42.79	-31 57 04.2	22.37	0.43	 ... 	6	300.1 +or- 21.8	Y	 ... 	 ... 	 ... 	
195247	12 21 44.45	-31 58 21.0	21.92	0.48	 ... 	11	317.5 +or- 16.8	Y	 ... 	 ... 	 ... 	
196052	12 21 44.57	-31 57 37.6	21.85	0.56	 ... 	12	303.7 +or- 4.1	Y	 ... 	 ... 	 ... 	
200162	12 21 44.65	-31 55 17.7	19.34	0.98	 ... 	79	68.1 +or- 1.5	N	 ... 	 ... 	 ... 	
194736	12 21 44.65	-31 58 47.6	21.95	0.49	 ... 	10	288.3 +or- 14.5	Y	 ... 	 ... 	 ... 	
193869	12 21 45.96	-31 59 34.4	20.11	0.50	 ... 	46	237.3 +or- 2.1	N	 ... 	 ... 	 ... 	
183842	12 21 46.10	-32 07 02.8	19.79	0.67	 ... 	55	-19.6 +or- 1.7	N	 ... 	 ... 	 ... 	
202029	12 21 47.09	-31 53 36.0	21.69	0.50	 ... 	6	10.1 +or- 9.0	N	 ... 	 ... 	 ... 	
