Table 2 
Positions, Velocities, Stellar Parameters, and Membership for Reticulum 2 and Horologium 1 Candidates


Object	alpha(J2000)	delta(J2000)	g	V_hel	${T}_{\mathrm{eff}}$	log g	[Fe/H]	[alpha/Fe]	${\chi }_{\mathrm{red}}^{2}$	Member?	
	(deg)	(deg)	(mag)	(km s^-1)	(K)						
Reticulum 2											
											
Reti 0	53.9424	$-54.1260$	19.27	218.5 +or- 1.1	${5680}_{-209}^{+217}$	${3.93}_{-0.33}^{+0.35}$	$-{1.99}_{-0.17}^{+0.17}$	${0.55}_{-0.19}^{+0.17}$	1.11	cdots	
Reti 1	53.8133	$-54.1452$	19.78	78.9 +or- 1.8	${5714}_{-213}^{+221}$	${3.96}_{-0.98}^{+0.80}$	$-{2.32}_{-0.25}^{+0.27}$	${0.61}_{-0.22}^{+0.14}$	0.96	Yes	
Reti 2	53.8072	$-54.0824$	19.74	60.0 +or- 2.1	${5729}_{-211}^{+219}$	${3.07}_{-0.43}^{+0.52}$	$-{2.65}_{-0.32}^{+0.29}$	${0.45}_{-0.28}^{+0.24}$	0.95	Yes	
Reti 3	53.9045	$-54.0670$	18.60	65.6 +or- 0.9	${5558}_{-197}^{+204}$	${3.10}_{-0.18}^{+0.17}$	$-{2.82}_{-0.12}^{+0.17}$	${0.65}_{-0.17}^{+0.11}$	1.00	Yes	
Reti 4	53.8494	$-54.0687$	16.47	66.3 +or- 0.2	${4896}_{-155}^{+160}$	${0.69}_{-0.02}^{+0.02}$	$-{2.50}_{-0.02}^{+0.02}$	${0.23}_{-0.01}^{+0.01}$	1.43	Yes	
Reti 5	53.8374	$-54.0633$	18.97	69.1 +or- 1.0	${5655}_{-208}^{+216}$	${3.37}_{-0.26}^{+0.63}$	$-{2.54}_{-0.16}^{+0.18}$	${0.59}_{-0.22}^{+0.14}$	1.03	Yes	
Reti 6	53.7260	$-54.0994$	18.97	70.8 +or- 1.1	${5617}_{-206}^{+214}$	${3.48}_{-0.36}^{+0.69}$	$-{2.56}_{-0.25}^{+0.15}$	${0.14}_{-0.11}^{+0.20}$	0.91	Yes	
Reti 7	53.7399	$-54.0920$	18.97	61.9 +or- 0.8	${5564}_{-199}^{+207}$	${3.07}_{-0.17}^{+0.19}$	$-{2.03}_{-0.19}^{+0.12}$	${0.39}_{-0.15}^{+0.17}$	1.05	Yes	
Reti 8	53.7605	$-54.0650$	19.26	65.4 +or- 1.8	${5669}_{-209}^{+217}$	${3.84}_{-0.61}^{+0.89}$	$-{2.51}_{-0.26}^{+0.27}$	${0.29}_{-0.22}^{+0.30}$	0.91	Yes	
Reti 9	53.8209	$-54.0675$	19.74	62.9 +or- 3.7	${5671}_{-208}^{+216}$	${4.25}_{-0.60}^{+0.55}$	$-{3.13}_{-0.45}^{+0.39}$	${0.22}_{-0.20}^{+0.30}$	1.44	Yes	
Reti 10	53.8540	$-54.0418$	19.72	65.6 +or- 1.2	${5562}_{-200}^{+207}$	${2.98}_{-0.34}^{+0.85}$	$-{1.38}_{-0.16}^{+0.22}$	${0.42}_{-0.22}^{+0.20}$	0.98	Yes?	
