bootes_1: host_chain=mw, profile=plummer, d=66.37 kpc, r_1/2=161.05 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
bootes_2: host_chain=mw, profile=plummer, d=41.69 kpc, r_1/2=33.29 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
bootes_3: host_chain=mw, profile=plummer, d=46.56 kpc, r_1/2=450.08 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
canes_venatici_1: host_chain=mw, profile=plummer, d=210.86 kpc, r_1/2=326.81 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
canes_venatici_2: host_chain=mw, profile=plummer, d=159.96 kpc, r_1/2=54.78 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
coma_berenices_1: host_chain=mw, profile=plummer, d=42.27 kpc, r_1/2=55.04 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
draco_1: host_chain=mw, profile=plummer, d=81.55 kpc, r_1/2=193.28 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
eridanus_4: host_chain=mw, profile=plummer, d=69.82 kpc, r_1/2=56.61 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
hercules_1: host_chain=mw, profile=plummer, d=130.62 kpc, r_1/2=119.10 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
leo_1: host_chain=mw, profile=plummer, d=258.23 kpc, r_1/2=229.39 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
leo_2: host_chain=mw, profile=plummer, d=233.35 kpc, r_1/2=164.96 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
leo_4: host_chain=mw, profile=plummer, d=151.36 kpc, r_1/2=101.88 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
leo_5: host_chain=mw, profile=plummer, d=169.04 kpc, r_1/2=37.12 pc, ellipticity_missing=False, vlos_sigma_unresolved=True
pegasus_3: host_chain=mw, profile=plummer, d=214.78 kpc, r_1/2=82.82 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
pegasus_4: host_chain=mw, profile=plummer, d=89.95 kpc, r_1/2=41.86 pc, ellipticity_missing=True, vlos_sigma_unresolved=False
sculptor_1: host_chain=mw, profile=plummer, d=83.95 kpc, r_1/2=223.26 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
segue_1: host_chain=mw, profile=plummer, d=22.91 kpc, r_1/2=19.75 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
sextans_1: host_chain=mw, profile=plummer, d=85.90 kpc, r_1/2=486.77 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
ursa_major_1: host_chain=mw, profile=plummer, d=97.27 kpc, r_1/2=150.56 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
ursa_major_2: host_chain=mw, profile=plummer, d=34.67 kpc, r_1/2=92.33 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
ursa_minor_1: host_chain=mw, profile=plummer, d=70.15 kpc, r_1/2=250.49 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
willman_1: host_chain=mw, profile=plummer, d=38.02 kpc, r_1/2=20.21 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
antlia_2: host_chain=mw, profile=plummer, d=124.17 kpc, r_1/2=2389.39 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
aquarius_2: host_chain=mw, profile=plummer, d=107.65 kpc, r_1/2=124.73 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
carina_1: host_chain=mw, profile=plummer, d=105.58 kpc, r_1/2=248.16 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
centaurus_1: host_chain=mw, profile=plummer, d=117.71 kpc, r_1/2=71.22 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
crater_2: host_chain=mw, profile=plummer, d=116.57 kpc, r_1/2=1057.99 pc, ellipticity_missing=True, vlos_sigma_unresolved=False
eridanus_2: host_chain=mw, profile=plummer, d=369.83 kpc, r_1/2=179.20 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
grus_1: host_chain=mw, profile=plummer, d=126.47 kpc, r_1/2=114.53 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
leo_6: host_chain=mw, profile=plummer, d=111.17 kpc, r_1/2=91.46 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
pisces_2: host_chain=mw, profile=plummer, d=182.81 kpc, r_1/2=56.56 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
tucana_2: host_chain=mw, profile=plummer, d=56.23 kpc, r_1/2=164.68 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
tucana_4: host_chain=mw, profile=plummer, d=46.99 kpc, r_1/2=99.28 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
tucana_5: host_chain=mw, profile=plummer, d=54.95 kpc, r_1/2=23.50 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
carina_2: host_chain=lmc->mw, profile=plummer, d=37.39 kpc, r_1/2=76.79 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
carina_3: host_chain=lmc->mw, profile=plummer, d=27.80 kpc, r_1/2=20.34 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
horologium_1: host_chain=lmc->mw, profile=plummer, d=79.43 kpc, r_1/2=31.78 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
hydrus_1: host_chain=lmc->mw, profile=plummer, d=27.54 kpc, r_1/2=52.84 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
reticulum_2: host_chain=lmc->mw, profile=plummer, d=31.62 kpc, r_1/2=36.65 pc, ellipticity_missing=False, vlos_sigma_unresolved=False
