# %ECSV 1.0
# ---
# datatype:
# - name: recno
#   datatype: int32
#   description: Record number assigned by the VizieR team. Should Not be used for identification.
#   meta: !!omap
#   - {ucd: RECORD}
#   - {width: 8}
# - name: DES
#   datatype: string
#   description: Identifier (JHHMMSS.ss+DDMMSS.s)
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {_votable_string_dtype: char}
# - name: MJD
#   unit: d
#   datatype: float32
#   format: '{:7.1f}'
#   description: '[57596.1/57596.6] Modified Julian Date'
#   meta: !!omap
#   - {ucd: TIME_DATE}
#   - {width: 7}
#   - {precision: '1'}
# - name: RAJ2000
#   unit: deg
#   datatype: float64
#   format: '{:9.5f}'
#   description: Right Ascension in decimal degrees (J2000)
#   meta: !!omap
#   - {ucd: POS_EQ_RA_MAIN}
#   - {width: 9}
#   - {precision: '5'}
# - name: DEJ2000
#   unit: deg
#   datatype: float64
#   format: '{:9.5f}'
#   description: Declination in decimal degrees (J2000)
#   meta: !!omap
#   - {ucd: POS_EQ_DEC_MAIN}
#   - {width: 9}
#   - {precision: '5'}
# - name: gmag
#   unit: mag
#   datatype: float32
#   format: '{:5.2f}'
#   description: '[16.2/19.25] DES dereddened g band (AB) magnitude (G1)'
#   meta: !!omap
#   - {ucd: PHOT_SDSS_G}
#   - {width: 5}
#   - {precision: '2'}
# - name: rmag
#   unit: mag
#   datatype: float32
#   format: '{:5.2f}'
#   description: '[15.25/18.7] DES dereddened r band (AB) magnitude (G1)'
#   meta: !!omap
#   - {ucd: PHOT_SDSS_R}
#   - {width: 5}
#   - {precision: '2'}
# - name: S/N
#   datatype: float32
#   format: '{:4.1f}'
#   description: '[6/42] Signal to noise ratio'
#   meta: !!omap
#   - {ucd: INST_S/N}
#   - {width: 4}
#   - {precision: '1'}
# - name: HRV
#   unit: km / s
#   datatype: float32
#   format: '{:6.1f}'
#   description: '[-164/258] Heliocentric radial velocity'
#   meta: !!omap
#   - {ucd: VELOC_HC}
#   - {width: 6}
#   - {precision: '1'}
# - name: e_HRV
#   unit: km / s
#   datatype: float32
#   format: '{:4.1f}'
#   description: '[0.7/24.2] Uncertainty in HRV'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 4}
#   - {precision: '1'}
# - name: Simbad
#   datatype: string
#   description: Simbad column added by the CDS
#   meta: !!omap
#   - {ucd: DATA_LINK}
#   - {_votable_string_dtype: char}
#   - {_votable_arraysize: 6*}
# meta: !!omap
# - {ID: J_ApJ_892_137_table2}
# - {name: J/ApJ/892/137/table2}
# - {description: '*Anglo-Australian Telescope (AAT) velocity measurements for Gru II and Tuc IV'}
# schema: astropy-2.0
recno DES MJD RAJ2000 DEJ2000 gmag rmag S/N HRV e_HRV Simbad
1 J215828.76-463329.6 57596.1 329.61985 -46.55823 17.73 17.03 6.8 4.8 3.5 Simbad
2 J215831.30-462702.6 57596.1 329.6304 -46.45072 17.22 16.43 17.8 -11.4 2.2 Simbad
3 J215851.85-464030.5 57596.1 329.71605 -46.67514 17.9 17.23 7.3 -62.9 3.3 Simbad
4 J215857.30-460420.0 57596.1 329.73874 -46.07222 17.06 16.13 29.0 -12.5 0.8 Simbad
5 J215903.05-465407.6 57596.1 329.76272 -46.90211 17.06 16.23 8.6 -37.0 3.0 Simbad
6 J215909.17-463536.3 57596.1 329.78819 -46.5934 17.78 17.11 9.0 -7.6 3.1 Simbad
7 J215915.51-461956.4 57596.1 329.81464 -46.33234 17.1 16.28 26.5 -17.4 2.6 Simbad
8 J215917.67-465605.9 57596.1 329.82361 -46.93498 17.31 16.56 9.8 41.2 3.9 Simbad
9 J215923.64-460638.6 57596.1 329.84849 -46.11072 17.19 16.38 26.4 -16.1 1.5 Simbad
10 J215924.02-461309.8 57596.1 329.85008 -46.2194 17.57 16.77 11.4 54.2 1.9 Simbad
11 J215926.24-460748.6 57596.1 329.85935 -46.13018 16.98 16.04 36.2 -69.9 4.5 Simbad
12 J215927.45-461621.4 57596.1 329.86438 -46.2726 16.64 15.73 41.9 -46.7 4.2 Simbad
13 J215938.14-461220.5 57596.1 329.90893 -46.20569 16.59 15.63 29.1 28.4 1.2 Simbad
14 J215947.11-460208.7 57596.1 329.94628 -46.03574 17.44 16.68 22.6 -80.6 1.9 Simbad
15 J220002.23-460906.8 57596.1 330.00929 -46.1519 17.46 16.67 21.5 -61.8 2.0 Simbad
16 J220008.54-470757.1 57596.1 330.03559 -47.13254 17.83 17.08 7.3 -110.1 3.6 Simbad
17 J220016.41-460714.8 57596.1 330.06836 -46.12077 17.51 16.69 19.3 36.3 1.6 Simbad
18 J220018.86-460919.8 57596.1 330.07857 -46.1555 17.46 16.74 19.8 87.4 3.1 Simbad
19 J220019.03-463330.1 57596.1 330.07927 -46.55836 17.71 17.02 13.5 -43.1 2.4 Simbad
20 J220020.91-460305.7 57596.1 330.08711 -46.05158 16.94 16.07 30.4 -0.7 0.8 Simbad
21 J220032.78-461840.5 57596.1 330.13658 -46.31125 17.39 16.66 15.8 -17.5 1.8 Simbad
22 J220042.64-463138.8 57596.1 330.17767 -46.52745 17.33 16.58 16.7 0.6 1.3 Simbad
23 J220047.80-454956.3 57596.1 330.19918 -45.83231 17.87 17.21 11.1 -15.2 1.8 Simbad
24 J220052.30-455445.1 57596.1 330.21792 -45.91252 16.67 15.79 28.0 -85.2 1.2 Simbad
25 J220055.14-461650.2 57596.1 330.22977 -46.2806 18.69 18.06 6.1 -14.5 3.9 Simbad
26 J220101.52-464447.7 57596.1 330.25635 -46.74659 17.1 16.22 24.6 -71.3 1.9 Simbad
27 J220119.02-463207.6 57596.1 330.32927 -46.53545 17.93 17.19 9.9 4.8 2.8 Simbad
28 J220125.42-454319.5 57596.1 330.35591 -45.72209 16.94 16.03 25.4 42.9 1.2 Simbad
29 J220125.61-460156.9 57596.1 330.35669 -46.03246 16.64 15.72 36.3 -39.7 0.7 Simbad
30 J220135.63-460841.9 57596.1 330.39846 -46.14497 16.67 15.71 31.2 -28.0 2.2 Simbad
31 J220142.43-455851.6 57596.1 330.42679 -45.98101 18.61 18.01 6.9 -86.0 3.6 Simbad
32 J220146.41-465911.1 57596.1 330.44337 -46.98642 17.38 16.58 14.3 14.3 1.7 Simbad
33 J220153.49-464603.7 57596.1 330.47287 -46.76771 18.72 18.1 6.5 43.5 3.6 Simbad
34 J220158.36-460259.2 57596.1 330.49316 -46.04977 17.22 16.44 20.5 -35.6 1.4 Simbad
35 J220205.01-453952.7 57596.1 330.52088 -45.66464 17.3 16.44 20.2 16.4 1.8 Simbad
36 J220208.23-472045.0 57596.1 330.53428 -47.34582 17.24 16.47 13.4 -4.4 2.1 Simbad
37 J220210.73-462111.9 57596.1 330.54472 -46.35329 18.68 18.03 7.4 56.7 4.1 Simbad
38 J220217.06-460631.7 57596.1 330.57108 -46.1088 17.53 16.75 20.6 -35.3 4.3 Simbad
39 J220224.90-462417.9 57596.1 330.60375 -46.40498 17.78 17.0 13.9 29.4 2.3 Simbad
40 J220229.12-461649.2 57596.1 330.62133 -46.28032 16.72 15.86 34.8 -120.6 1.7 Simbad
41 J220233.41-462321.0 57596.1 330.63923 -46.38916 18.5 17.9 7.1 38.8 2.2 Simbad
42 J220236.37-460754.4 57596.1 330.65154 -46.13177 17.31 16.53 21.0 -68.7 3.3 Simbad
43 J220239.70-463923.0 57596.1 330.66542 -46.65638 17.2 16.43 12.5 21.0 4.0 Simbad
44 J220243.75-465204.1 57596.1 330.6823 -46.8678 17.83 17.12 11.2 10.8 2.2 Simbad
45 J220250.75-463003.9 57596.1 330.71148 -46.50108 17.82 17.11 13.0 -57.4 2.1 Simbad
46 J220252.85-460802.3 57596.1 330.72022 -46.13396 18.41 17.78 9.1 -103.8 2.8 Simbad
47 J220253.18-461413.3 57596.1 330.72157 -46.23702 18.3 17.67 7.7 41.1 2.9 Simbad
48 J220307.96-464750.0 57596.1 330.78317 -46.79721 18.28 17.61 6.2 -7.2 4.6 Simbad
49 J220309.13-472052.9 57596.1 330.78804 -47.34803 17.32 16.53 6.1 3.1 4.5 Simbad
50 J220311.09-462116.2 57596.1 330.79622 -46.35451 16.57 15.67 37.9 17.2 1.0 Simbad
51 J220311.26-471731.0 57596.1 330.79692 -47.29195 16.57 15.62 19.8 7.2 2.2 Simbad
52 J220311.97-465758.5 57596.1 330.79989 -46.96624 17.76 17.02 13.4 75.6 2.3 Simbad
53 J220313.41-463119.9 57596.1 330.80587 -46.52219 18.61 17.96 6.6 33.9 3.6 Simbad
54 J220316.34-465227.0 57596.1 330.81808 -46.87416 18.36 17.68 7.3 -1.9 2.5 Simbad
55 J220320.46-461300.9 57596.1 330.83524 -46.21692 18.39 17.73 9.2 -26.6 2.7 Simbad
56 J220321.47-455729.7 57596.1 330.83945 -45.95824 17.32 16.44 21.1 33.5 1.9 Simbad
57 J220323.47-462156.4 57596.1 330.8478 -46.36568 18.15 17.44 13.3 38.6 1.6 Simbad
58 J220324.36-461213.5 57596.1 330.8515 -46.20376 18.02 17.28 12.6 5.6 2.1 Simbad
59 J220326.51-471030.0 57596.1 330.86045 -47.175 16.95 16.06 16.9 -21.6 2.6 Simbad
60 J220327.20-472137.4 57596.1 330.86332 -47.36039 16.98 16.15 6.2 -15.2 4.0 Simbad
61 J220336.21-464527.4 57596.1 330.90087 -46.7576 17.22 16.31 24.1 -5.3 24.2 Simbad
62 J220339.31-461422.6 57596.1 330.91379 -46.23962 17.32 16.51 25.4 2.1 0.9 Simbad
63 J220341.25-454826.0 57596.1 330.92186 -45.80723 18.37 17.68 10.2 -34.3 4.2 Simbad
64 J220342.70-461843.3 57596.1 330.92791 -46.31202 17.25 16.35 28.3 -28.9 0.9 Simbad
65 J220343.58-455908.6 57596.1 330.93157 -45.98572 16.74 15.88 26.8 1.6 1.1 Simbad
66 J220346.12-453249.1 57596.1 330.94216 -45.54696 17.63 16.91 15.7 -39.4 1.4 Simbad
67 J220349.73-463314.6 57596.1 330.95722 -46.55405 16.7 15.78 31.4 -6.0 1.0 Simbad
68 J220352.05-461213.5 57596.1 330.96689 -46.20374 18.59 18.01 6.4 -78.1 3.1 Simbad
69 J220352.60-453309.7 57596.1 330.96916 -45.55268 17.67 17.0 16.8 -3.1 2.9 Simbad
70 J220357.67-453907.0 57596.1 330.99029 -45.65194 18.4 17.75 10.8 111.8 4.3 Simbad
71 J220403.03-464422.9 57596.1 331.01262 -46.73969 18.37 17.71 7.8 -22.0 7.6 Simbad
72 J220403.26-462403.3 57596.1 331.01359 -46.40092 18.59 17.94 8.1 -3.4 9.4 Simbad
73 J220403.37-464925.4 57596.1 331.01405 -46.82372 17.03 16.21 24.2 3.3 1.3 Simbad
74 J220405.91-462231.3 57596.1 331.02461 -46.37535 18.19 17.55 10.6 49.6 2.8 Simbad
75 J220409.58-470421.1 57596.1 331.03993 -47.07253 17.28 16.47 15.3 83.0 3.6 Simbad
76 J220409.98-462102.2 57596.1 331.04158 -46.35061 18.19 17.49 12.5 -106.7 3.7 Simbad
77 J220410.77-463202.5 57596.1 331.04486 -46.53403 17.37 16.54 19.7 59.3 1.5 Simbad
78 J220412.68-463502.8 57596.1 331.05283 -46.58412 17.54 16.77 18.6 75.2 1.8 Simbad
79 J220413.94-465754.5 57596.1 331.05807 -46.96513 16.98 16.14 28.4 -3.6 1.5 Simbad
80 J220414.67-455356.9 57596.1 331.06112 -45.89913 16.92 16.01 36.3 70.0 1.9 Simbad
81 J220415.84-462454.9 57596.1 331.06599 -46.41524 18.33 17.71 8.9 -3.8 5.8 Simbad
82 J220418.80-471226.4 57596.1 331.07833 -47.20732 17.35 16.5 18.2 8.7 2.1 Simbad
83 J220419.17-462831.5 57596.1 331.07987 -46.47541 18.49 17.91 8.2 -55.3 2.8 Simbad
84 J220423.91-463702.5 57596.1 331.09961 -46.61735 17.55 16.76 16.7 -107.3 2.1 Simbad
85 J220428.60-461736.1 57596.1 331.11916 -46.29335 17.72 17.01 13.4 -100.3 3.6 Simbad
86 J220429.95-464045.0 57596.1 331.12478 -46.67918 17.96 17.27 10.4 -70.1 4.3 Simbad
87 J220430.12-454619.2 57596.1 331.12551 -45.77199 18.4 17.77 11.0 50.4 3.6 Simbad
88 J220432.64-464456.7 57596.1 331.13601 -46.74907 17.84 17.1 12.8 13.4 2.5 Simbad
89 J220433.73-470950.8 57596.1 331.14052 -47.1641 17.56 16.84 6.9 43.0 2.4 Simbad
90 J220441.99-461605.5 57596.1 331.17498 -46.26818 17.04 16.11 30.7 -3.5 1.3 Simbad
91 J220446.26-454240.7 57596.1 331.19273 -45.71131 17.79 17.11 13.8 -13.9 1.8 Simbad
92 J220449.32-463042.6 57596.1 331.20551 -46.51184 18.32 17.61 8.4 5.5 9.5 Simbad
93 J220451.92-461845.9 57596.1 331.21633 -46.31274 17.85 17.13 14.1 -39.5 3.1 Simbad
94 J220454.26-463443.4 57596.1 331.2261 -46.57873 18.13 17.46 6.0 -69.7 3.4 Simbad
95 J220501.56-453734.7 57596.1 331.25651 -45.62631 17.71 16.97 16.2 -41.3 1.4 Simbad
96 J220502.86-460947.5 57596.1 331.26192 -46.16319 18.76 18.19 6.5 -23.3 4.2 Simbad
97 J220503.12-463234.7 57596.1 331.263 -46.54299 18.39 17.71 9.0 -27.4 2.3 Simbad
98 J220507.31-465032.7 57596.1 331.28046 -46.84243 18.56 17.91 7.0 5.6 4.4 Simbad
99 J220514.98-455626.9 57596.1 331.3124 -45.94081 17.88 17.22 12.7 -24.9 2.7 Simbad
100 J220515.64-463736.5 57596.1 331.31515 -46.6268 17.34 16.61 16.2 83.0 2.3 Simbad
101 J220517.61-460933.5 57596.1 331.32338 -46.15932 17.65 16.88 17.4 28.7 1.3 Simbad
102 J220521.89-470230.5 57596.1 331.34119 -47.04182 17.44 16.63 18.2 -25.3 4.1 Simbad
103 J220531.93-465858.9 57596.1 331.38304 -46.98304 18.09 17.4 10.1 28.4 2.4 Simbad
104 J220538.59-462007.1 57596.1 331.41081 -46.33532 17.72 17.05 12.6 -52.0 2.5 Simbad
105 J220555.60-465905.8 57596.1 331.48165 -46.98494 17.08 16.14 26.2 30.8 1.6 Simbad
106 J220603.91-464009.9 57596.1 331.51629 -46.66943 16.59 15.65 37.1 -68.8 1.8 Simbad
107 J220606.30-462600.7 57596.1 331.52624 -46.43352 18.24 17.53 10.8 22.3 2.4 Simbad
108 J220620.34-453423.1 57596.1 331.58475 -45.57308 16.95 16.08 19.9 -163.9 1.2 Simbad
109 J220634.83-463611.2 57596.1 331.64514 -46.60311 17.53 16.84 20.6 -31.4 3.2 Simbad
110 J220637.04-460935.6 57596.1 331.65433 -46.15989 18.4 17.75 7.9 -45.3 3.7 Simbad
111 J220638.02-465827.8 57596.1 331.65841 -46.97439 18.47 17.84 6.0 -41.8 3.7 Simbad
112 J220639.06-460644.3 57596.1 331.66275 -46.11229 17.42 16.71 17.5 41.2 2.7 Simbad
113 J220643.83-454652.6 57596.1 331.68264 -45.78129 17.12 16.22 20.4 3.6 2.6 Simbad
114 J220645.99-461925.9 57596.1 331.69162 -46.32385 16.84 15.97 34.4 12.3 6.2 Simbad
115 J220650.45-454307.2 57596.1 331.71019 -45.71866 16.58 15.68 28.0 -43.6 1.8 Simbad
116 J220657.46-470940.7 57596.1 331.73943 -47.16131 17.78 17.11 8.0 14.6 2.7 Simbad
117 J220701.26-465942.3 57596.1 331.75527 -46.99508 16.91 16.03 21.4 50.9 1.0 Simbad
