# %ECSV 1.0
# ---
# datatype:
# - name: Target
#   datatype: string
#   description: Target identification; Galaxy-ID number
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {_votable_string_dtype: char}
# - name: Field
#   datatype: string
#   description: Field and spectrograph channel (B=blue, R=red)
#   meta: !!omap
#   - {ucd: ID_FIELD}
#   - {_votable_string_dtype: char}
# - name: HJD
#   unit: d
#   datatype: float64
#   format: '{:8.3f}'
#   description: Heliocentric Julian Date minus 2450000 of obs.
#   meta: !!omap
#   - {ucd: TIME_DATE}
#   - {width: 8}
#   - {precision: '3'}
# - name: HV
#   unit: km / s
#   datatype: float32
#   format: '{:6.1f}'
#   description: Heliocentric rest frame velocity
#   meta: !!omap
#   - {ucd: VELOC_HC}
#   - {width: 6}
#   - {precision: '1'}
# - name: e_HV
#   unit: km / s
#   datatype: float32
#   format: '{:4.1f}'
#   description: Uncertainty in HV
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 4}
#   - {precision: '1'}
# - name: SigFe
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? The {Sigma}Fe spectral index ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: e_SigFe
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? Uncertainty in SigFe ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: SigMg
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? The {Sigma}Mg spectral index ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: e_SigMg
#   unit: 0.1 nm
#   datatype: float32
#   format: '{:5.2f}'
#   description: '? Uncertainty in SigMg ({AA})'
#   meta: !!omap
#   - {ucd: SPECT_INDEX_MISC}
#   - {width: 5}
#   - {precision: '2'}
#   - values: {'null': .nan}
# - name: Mmb
#   datatype: float32
#   format: '{:6.3f}'
#   description: '? Probability membership'
#   meta: !!omap
#   - {ucd: CODE_MEMB}
#   - {width: 6}
#   - {precision: '3'}
#   - values: {'null': .nan}
# meta: !!omap
# - {ID: J_AJ_137_3100_tables}
# - {name: J/AJ/137/3100/tables}
# - {description: Combined table from original tables}
# schema: astropy-2.0
Target Field HJD HV e_HV SigFe e_SigFe SigMg e_SigMg Mmb
Car-0001 18B 3087.533 218.8 2.0 0.42 0.05 0.48 0.1 1.0
Car-0001 1R 4554.518 223.0 10.3 0.21 0.28 0.53 0.3 ""
Car-0002 18B 3087.533 235.4 0.6 0.38 0.02 0.45 0.05 1.0
Car-0002 1R 3088.572 237.3 5.8 0.43 0.02 0.46 0.09 ""
Car-0002 25R 3411.554 236.0 6.2 0.37 0.07 0.24 0.15 ""
Car-0002 1R 4554.518 241.3 4.0 0.43 0.09 0.46 0.16 ""
Car-0003 18B 3087.533 39.6 0.9 0.39 0.04 1.12 0.03 0.0
Car-0004 18B 3087.533 57.1 1.9 0.43 0.05 1.02 0.06 0.0
Car-0005 18B 3087.533 4.6 2.1 0.4 0.02 0.95 0.03 0.0
Car-0005 1R 4122.587 8.8 3.1 "" "" "" "" ""
Car-0006 18B 3087.533 218.0 3.4 "" "" 0.87 0.22 0.964
Car-0007 18B 3087.533 216.2 5.0 0.3 0.23 0.57 0.25 0.997
Car-0008 18B 3087.533 225.1 5.7 0.42 0.08 0.31 0.2 1.0
Car-0008 13B 3410.547 225.6 3.8 0.38 0.05 0.21 0.12 ""
Car-0009 18B 3087.533 232.1 1.9 0.42 0.04 0.41 0.09 1.0
Car-0009 1R 4123.555 232.9 9.2 "" "" "" "" ""
Car-0010 18B 3087.533 223.2 0.9 0.4 0.02 0.39 0.04 1.0
Car-0010 25R 3411.554 222.5 1.6 0.34 0.04 0.38 0.1 ""
Car-0011 18B 3087.533 214.5 3.4 0.37 0.07 0.35 0.19 1.0
Car-0011 13B 3410.547 219.1 3.2 0.35 0.06 0.47 0.11 ""
Car-0012 18B 3087.533 229.5 4.0 0.33 0.05 0.39 0.12 1.0
Car-0013 18B 3087.533 219.1 1.8 0.4 0.03 0.35 0.09 1.0
Car-0013 1R 4122.587 226.7 11.8 "" "" "" "" ""
Car-0014 18B 3087.533 232.6 2.5 0.47 0.07 0.42 0.16 1.0
Car-0015 18B 3087.533 220.3 2.2 0.27 0.07 0.52 0.12 0.999
Car-0015 1R 4557.518 224.8 11.0 "" "" "" "" ""
Car-0016 18B 3087.533 232.3 4.1 0.41 0.08 0.07 0.23 1.0
Car-0016 25B 3411.554 233.7 3.0 0.44 0.06 0.27 0.15 ""
Car-0017 18B 3087.533 222.4 4.8 0.36 0.08 0.48 0.13 0.999
Car-0018 18B 3087.533 223.6 1.8 0.38 0.03 0.42 0.07 1.0
Car-0018 25R 3411.554 226.3 10.4 0.38 0.14 0.47 0.2 ""
